v4.32	Jun 14 21:28:56 2020	 x0	1000	0.520	NDG: 2 	RND:	         waves/chowder/flotsam_10F.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:57 2020	 x0	1000	0.520	NDG: 2 	RND:	         waves/chowder/flotsam_14F.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:57 2020	 x0	1000	0.410	NDG: 2 	RND:	         waves/chowder/flotsam_21R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.420	NDG: 2 	RND:	         waves/chowder/flotsam_28F.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.330	NDG: 2 	RND:	         waves/chowder/flotsam_31R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.450	NDG: 2 	RND:	         waves/chowder/flotsam_35R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.430	NDG: 2 	RND:	         waves/chowder/flotsam_36R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.420	NDG: 2 	RND:	         waves/chowder/flotsam_40R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.520	NDG: 2 	RND:	         waves/chowder/flotsam_41R.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.500	NDG: 2 	RND:	         waves/chowder/flotsam_44R.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:28:58 2020	 x0	1000	0.520	NDG: 2 	RND:	         waves/chowder/flotsam_45F.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:59 2020	 x0	1000	0.420	NDG: 2 	RND:	         waves/chowder/flotsam_46R.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:59 2020	 x0	1000	0.460	NDG: 2 	RND:	               waves/chowder/s06-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:59 2020	 x0	1000	0.480	NDG: 2 	RND:	               waves/chowder/s10-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:59 2020	 x0	1000	0.450	NDG: 2 	RND:	               waves/chowder/s14-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:28:59 2020	 x0	1000	0.420	NDG: 2 	RND:	               waves/chowder/s26-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.530	NDG: 2 	RND:	               waves/chowder/s28-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.380	NDG: 2 	RND:	               waves/chowder/s32-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.390	NDG: 2 	RND:	               waves/chowder/s36-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.550	NDG: 2 	RND:	               waves/chowder/s38-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.560	NDG: 2 	RND:	               waves/chowder/s40-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:00 2020	 x0	1000	0.370	NDG: 1 	RND:	               waves/chowder/s42-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.370	NDG: 1 	RND:	               waves/chowder/s44-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.420	NDG: 2 	RND:	               waves/chowder/s46-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.430	NDG: 2 	RND:	               waves/chowder/s48-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.490	NDG: 2 	RND:	               waves/chowder/s50-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.520	NDG: 2 	RND:	              waves/chowder/st08-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:01 2020	 x0	1000	0.470	NDG: 2 	RND:	              waves/chowder/st10-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:02 2020	 x0	1000	0.530	NDG: 2 	RND:	             waves/chowder/str02-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:29:02 2020	 x0	1000	0.400	NDG: 2 	RND:	             waves/chowder/str04-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:02 2020	 x0	1000	0.490	NDG: 1 	RND:	             waves/chowder/str06-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:02 2020	 x0	1000	0.400	NDG: 2 	RND:	            waves/chowder/stri02-k.txt (+) ( 100 bp) REC:1000	M: 2	-
v4.32	Jun 14 21:29:03 2020	 x0	1000	0.560	NDG: 2 	RND:	            waves/chowder/stri04-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:29:03 2020	 x0	1000	0.580	NDG: 2 	RND:	            waves/chowder/stri08-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:29:03 2020	 x0	1000	0.420	NDG: 2 	RND:	            waves/chowder/stri10-k.txt (+) ( 100 bp) REC:1000	M: 3	-
v4.32	Jun 14 21:29:03 2020	 x0	1000	0.440	NDG: 2 	RND:	            waves/chowder/stri12-k.txt (+) ( 100 bp) REC:1000	M: 2	-
