v3.74	Dec 16 20:36:28 2019	 x0	1000	0.356	CYC:  0 (k=0)	RND:	a                       example sequence (  87 ch) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:36:29 2019	 x0	1000	0.274	CYC:  0 (k=0)	RND:	b                       example sequence (  84 ch) REC:1000	 23	   0: N/A
v3.74	Dec 16 20:36:29 2019	 x0	1000	0.255	CYC:  0 (k=0)	RND:	c                       example sequence ( 102 ch) REC:1000	 26	   0: N/A
v3.74	Dec 16 20:36:29 2019	 x0	1000	0.488	CYC:  0 (k=0)	RND:	d                       example sequence ( 121 ch) REC:1000	 59	   0: N/A
v3.74	Dec 16 20:36:29 2019	 x0	1000	0.413	CYC:  0 (k=0)	RND:	e                       example sequence ( 109 ch) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:36:30 2019	 x0	1000	0.269	CYC:  0 (k=0)	RND:	f                       example sequence ( 156 ch) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:36:30 2019	 x0	1000	0.533	CYC:  0 (k=0)	RND:	g                       example sequence (  45 ch) REC:1000	 24	   0: N/A
v3.74	Dec 16 20:36:30 2019	 x0	1000	0.522	CYC:  0 (k=0)	RND:	h                       example sequence (  69 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:36:31 2019	 x0	1000	0.426	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dmela.txt ( 956 bp) REC:1000	407	   0: N/A
v3.74	Dec 16 20:36:32 2019	 x0	1000	0.421	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dmaur.txt ( 956 bp) REC:1000	402	   0: N/A
v3.74	Dec 16 20:36:33 2019	 x0	1000	0.422	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dsech.txt ( 956 bp) REC:1000	403	   0: N/A
v3.74	Dec 16 20:36:35 2019	 x0	1000	0.419	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dsimu.txt ( 956 bp) REC:1000	401	   0: N/A
v3.74	Dec 16 20:36:36 2019	 x0	1000	0.404	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Derec.txt ( 962 bp) REC:1000	389	   0: N/A
v3.74	Dec 16 20:36:38 2019	 x0	1000	0.381	CYC:  5 (k=3)	RND:	i   waves/animals/seal_vnd_ex3_Dsant.txt ( 959 bp) REC:1000	365	   0: N/A
v3.74	Dec 16 20:36:39 2019	 x0	1000	0.393	CYC:  5 (k=3)	RND:	i   waves/animals/seal_vnd_ex3_Dyaku.txt ( 957 bp) REC:1000	376	   0: N/A
v3.74	Dec 16 20:36:41 2019	 x0	1000	0.389	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Danan.txt ( 962 bp) REC:1000	374	   0: N/A
v3.74	Dec 16 20:36:42 2019	 x0	1000	0.395	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dbipe.txt ( 950 bp) REC:1000	375	   0: N/A
v3.74	Dec 16 20:36:43 2019	 x0	1000	0.449	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dmela.txt (1008 bp) REC:1000	453	   1: bslip type 1
v3.74	Dec 16 20:36:44 2019	 x0	1000	0.464	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dmaur.txt (1006 bp) REC:1000	467	   1: bslip type 1
