v3.62	Mar 17 08:52:09 2019	 x0	1000	0.429	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Dmela.txt ( 956 bp) REC:1000	410	   1: updatedraqia
v3.62	Mar 17 08:52:10 2019	 x0	1000	0.423	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Dsimu.txt ( 956 bp) REC:1000	404	   1: updatedraqia
v3.62	Mar 17 08:52:12 2019	 x0	1000	0.407	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Derec.txt ( 962 bp) REC:1000	392	   1: updatedraqia
v3.62	Mar 17 08:52:13 2019	 x0	1000	0.393	CYC:  5 (k=3)	RND:	i   animals/seal_vnd_ex3_Dyaku.txt ( 957 bp) REC:1000	376	   1: updatedraqia
v3.62	Mar 17 08:52:14 2019	 x0	1000	0.407	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Dbiar.txt ( 974 bp) REC:1000	396	   1: updatedraqia
v3.62	Mar 17 08:52:16 2019	 x0	1000	0.383	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Dsuzu.txt ( 980 bp) REC:1000	375	   1: updatedraqia
v3.62	Mar 17 08:52:17 2019	 x0	1000	0.392	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Danan.txt ( 962 bp) REC:1000	377	   1: updatedraqia
v3.62	Mar 17 08:52:18 2019	 x0	1000	0.398	CYC:  0 (k=0)	RND:	i   animals/seal_vnd_ex3_Dbipe.txt ( 950 bp) REC:1000	378	   1: updatedraqia
v3.62	Mar 17 08:52:19 2019	 x0	1000	0.449	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Dmela.txt (1008 bp) REC:1000	453	   1: updatedraqia
v3.62	Mar 17 08:52:20 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Dsimu.txt (1007 bp) REC:1000	463	   1: updatedraqia
v3.62	Mar 17 08:52:21 2019	 x0	1000	0.435	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Derec.txt (1005 bp) REC:1000	437	   1: updatedraqia
v3.62	Mar 17 08:52:22 2019	 x0	1000	0.429	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Dyaku.txt (1063 bp) REC:1000	456	   1: updatedraqia
v3.62	Mar 17 08:52:23 2019	 x0	1000	0.443	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Dbiar.txt (1063 bp) REC:1000	471	   1: updatedraqia
v3.62	Mar 17 08:52:25 2019	 x0	1000	0.431	CYC:  0 (k=0)	RND:	i  animals/shark_vnd_NEE_Dsuzu.txt (1064 bp) REC:1000	459	   1: updatedraqia
v3.62	Mar 17 08:52:26 2019	 x0	1000	0.391	CYC:  0 (k=0)	RND:	i animals/shark_nab_DWME_Dmela.txt ( 764 bp) REC:1000	299	   1: updatedraqia
